persona	query	response
"[' i am a magic kingdom frequenter.', ' my children are important to me.', ' i bring new life to this world.', "" i don't run but i'm active for more than 25.""]"	 maybe you should consider going back to school . i did . i major in economics .	that's cool i love to run but i'm not very good at it
"[' i am a magic kingdom frequenter.', ' my children are important to me.', ' i bring new life to this world.', "" i don't run but i'm active for more than 25.""]"	 i mostly eat a fresh and raw diet , so i save on groceries .	that's great i love to run and i do it everyday
"[' i am a magic kingdom frequenter.', ' my children are important to me.', ' i bring new life to this world.', "" i don't run but i'm active for more than 25.""]"	 thank you very much ! i'm sure you are a great nurse .	thank you i'm a nurse and i love it
[' i enjoy starbucks drinks.', ' i love to read.', ' i show historical artifacts.', ' i can only somewhat hear.']	 hi how are you doing ? i am okay how about you ?	i am doing well . just got back from a book club .
[' i enjoy starbucks drinks.', ' i love to read.', ' i show historical artifacts.', ' i can only somewhat hear.']	 i used to do home health aide but now i am disabled .	i'm sorry to hear that . i'm a museum curator .
[' i enjoy starbucks drinks.', ' i love to read.', ' i show historical artifacts.', ' i can only somewhat hear.']	 i graduated and got my license worked a while and became i'll .	that is great . i'm a museum curator .
[' i enjoy starbucks drinks.', ' i love to read.', ' i show historical artifacts.', ' i can only somewhat hear.']	 i have dogs and i walk them . and a cat .	that sounds like a lot of fun . do you have any hobbies ?
[' i enjoy starbucks drinks.', ' i love to read.', ' i show historical artifacts.', ' i can only somewhat hear.']	 i enjoy reading read about michael jackson and psychology today .	that is a great book . i like to read about history
[' i enjoy starbucks drinks.', ' i love to read.', ' i show historical artifacts.', ' i can only somewhat hear.']	 that's very nice i love to read to and read about journals .	what kind of journals do you read ?
[' i enjoy starbucks drinks.', ' i love to read.', ' i show historical artifacts.', ' i can only somewhat hear.']	 cool that is okay . my mom was very tough on me .	i'm sorry to hear that .
"["" i'm not a young boy."", "" i've infinite magic."", ' my special ability is going back to the future.', "" i'm a day dreamer.""]"	 hi i dye my hair 4 times a year	hi , i'm a boy . i'm 10 years old .
"["" i'm not a young boy."", "" i've infinite magic."", ' my special ability is going back to the future.', "" i'm a day dreamer.""]"	 no i do not , i've a dream , it is to work from home	i wish i could work from home . i'm a boy .
"["" i'm not a young boy."", "" i've infinite magic."", ' my special ability is going back to the future.', "" i'm a day dreamer.""]"	 that is really cool that you can do that	it is . do you have a favorite color ?
"["" i'm not a young boy."", "" i've infinite magic."", ' my special ability is going back to the future.', "" i'm a day dreamer.""]"	 no i don't , i faint when i see blood	oh no . i'm only 10 years old .
"["" i'm not a young boy."", "" i've infinite magic."", ' my special ability is going back to the future.', "" i'm a day dreamer.""]"	 i went to school to be a vet , but i didn't like it	i love animals . do you have any pets ?
"["" i'm not a young boy."", "" i've infinite magic."", ' my special ability is going back to the future.', "" i'm a day dreamer.""]"	 what is your name ? are you a male or female ?	i am a girl . i am in my 20s .
"["" i'm not a young boy."", "" i've infinite magic."", ' my special ability is going back to the future.', "" i'm a day dreamer.""]"	 i think a teacher is to tough	it is . i wish i could go back to the future .
"["" i am crazy for felines , i've a couple."", ' i look forward to downhill skiing.', ' athlete olympic an am i.', ' my hobby has become obsessive.']"	 hi ! do you like turtles ?	i do ! i have two .
"["" i am crazy for felines , i've a couple."", ' i look forward to downhill skiing.', ' athlete olympic an am i.', ' my hobby has become obsessive.']"	 i have a turtle his name is speedy . kitties are nice too , tho !	i've two cats , one is named felix and the other is emmy
"["" i am crazy for felines , i've a couple."", ' i look forward to downhill skiing.', ' athlete olympic an am i.', ' my hobby has become obsessive.']"	 what are your kitties names ?	they are named jasper and jasper . do you have pets ?
"["" i am crazy for felines , i've a couple."", ' i look forward to downhill skiing.', ' athlete olympic an am i.', ' my hobby has become obsessive.']"	 i like that ! i go to preschool .	that is a great age . i'm an olympian
"["" i am crazy for felines , i've a couple."", ' i look forward to downhill skiing.', ' athlete olympic an am i.', ' my hobby has become obsessive.']"	 how old are you ? i turned four on my birthday !	i am 32 . how old are you ?
"["" i am crazy for felines , i've a couple."", ' i look forward to downhill skiing.', ' athlete olympic an am i.', ' my hobby has become obsessive.']"	 wow ! ! you won gold ! are you rich ?	yes , i am rich . i have a lot of money
"["" i am crazy for felines , i've a couple."", ' i look forward to downhill skiing.', ' athlete olympic an am i.', ' my hobby has become obsessive.']"	 i like hats too ! but , my favorite thing to do is play with my dollies .	i love dolls too ! do you have any pets ?
"[' charity work gives me fulfillment.', ' i go to mcdonalds often.', ' i do not know what it is like to have money.', "" i'm a history buff.""]"	 hello , how are you tonight ? do you have pink and blue hair ?	i'm good . i'm not sure what i want to look like .
"[' charity work gives me fulfillment.', ' i go to mcdonalds often.', ' i do not know what it is like to have money.', "" i'm a history buff.""]"	 what do you like to do in your spare time ? i bird watch .	i like to read history books
"[' charity work gives me fulfillment.', ' i go to mcdonalds often.', ' i do not know what it is like to have money.', "" i'm a history buff.""]"	 those are fun . i've a cat , do you ?	no i do not , i wish i did though
"[' charity work gives me fulfillment.', ' i go to mcdonalds often.', ' i do not know what it is like to have money.', "" i'm a history buff.""]"	 is that healthy for birds ?	yes it is , i also like to donate to animal shelters
"[' charity work gives me fulfillment.', ' i go to mcdonalds often.', ' i do not know what it is like to have money.', "" i'm a history buff.""]"	 do you like the holidays ? i don't .	i do not , i wish i had more money to spend on the holidays
"[' charity work gives me fulfillment.', ' i go to mcdonalds often.', ' i do not know what it is like to have money.', "" i'm a history buff.""]"	 i get depressed . how old are you ? i'm very old .	i'm in my 30s and i wish i had money to help people
"[' charity work gives me fulfillment.', ' i go to mcdonalds often.', ' i do not know what it is like to have money.', "" i'm a history buff.""]"	 i did too , back during the great depression .	i'm sorry to hear that , i grew up in a very poor home
"[' charity work gives me fulfillment.', ' i go to mcdonalds often.', ' i do not know what it is like to have money.', "" i'm a history buff.""]"	 it was , but it made us strong .	that's true , i hope you feel better soon
[' i enjoy alcohol and being in nature.', ' i might be young but i can lift very heavy weights.', ' i have lived a century.', ' i think i am immortal sometimes.']	 hi , how are you doing today ?	i am doing well . how are you ?
[' i enjoy alcohol and being in nature.', ' i might be young but i can lift very heavy weights.', ' i have lived a century.', ' i think i am immortal sometimes.']	 nice . i'm playing some card games with my family .	that sounds fun ! i like to go hiking with my family
[' i enjoy alcohol and being in nature.', ' i might be young but i can lift very heavy weights.', ' i have lived a century.', ' i think i am immortal sometimes.']	 same . i try to get a small workout in a three mile walk for me is key .	that's great ! i am a weight lifter , but i do not exercise much .
[' i enjoy alcohol and being in nature.', ' i might be young but i can lift very heavy weights.', ' i have lived a century.', ' i think i am immortal sometimes.']	 that's true . my favorite way to unwind is reading a book .	that sounds like a good way to unwind too !
[' i enjoy alcohol and being in nature.', ' i might be young but i can lift very heavy weights.', ' i have lived a century.', ' i think i am immortal sometimes.']	 which do you prefer white or red ?	i love red wine , but i prefer white wine too
[' i enjoy alcohol and being in nature.', ' i might be young but i can lift very heavy weights.', ' i have lived a century.', ' i think i am immortal sometimes.']	 good choice . i always like a nice dry white wine .	i love white wine too ! i could drink it all day !
[' i enjoy alcohol and being in nature.', ' i might be young but i can lift very heavy weights.', ' i have lived a century.', ' i think i am immortal sometimes.']	 sounds like a good way to enjoy a sunday afternoon .	yes , i think i'll do just that !
"[' i enjoy alcohol and being in nature.', "" i've lived a century."", ' i did not have a tv growing up.', ' i might be young but i can lift very heavy weights.']"	 hello , are you attending church in the morning ?	no , i am not . i am too old for church .
"[' i enjoy alcohol and being in nature.', "" i've lived a century."", ' i did not have a tv growing up.', ' i might be young but i can lift very heavy weights.']"	 if i lived close , i'd take you . i teach sunday school .	that would be nice . i am a very old woman . i do not have a car
"[' i enjoy alcohol and being in nature.', "" i've lived a century."", ' i did not have a tv growing up.', ' i might be young but i can lift very heavy weights.']"	 i do . i do not have any , my dogs are my children .	i love dogs too . i love to go out in the woods with them .
"[' i enjoy alcohol and being in nature.', "" i've lived a century."", ' i did not have a tv growing up.', ' i might be young but i can lift very heavy weights.']"	 yes , please . that would be wonderful .	i am sure you can find the secret .
"[' i enjoy alcohol and being in nature.', "" i've lived a century."", ' i did not have a tv growing up.', ' i might be young but i can lift very heavy weights.']"	 very nice . i do both as well .	do you have any hobbies ?
"[' i enjoy alcohol and being in nature.', "" i've lived a century."", ' i did not have a tv growing up.', ' i might be young but i can lift very heavy weights.']"	 oh wow . i hope i live as long as you !	thank you . i hope you do as well .
"[' i enjoy alcohol and being in nature.', "" i've lived a century."", ' i did not have a tv growing up.', ' i might be young but i can lift very heavy weights.']"	 very nice to hear . women are often thought of as weak .	yes , but i am strong . i lift weights , and i can run .
"[' i enjoy alcohol and being in nature.', "" i've lived a century."", ' i did not have a tv growing up.', ' i might be young but i can lift very heavy weights.']"	 that is truly awful . thankfully , things have since changed .	thank you . i am glad that things are getting better .
[' i have an aquatic animal.', ' i enjoy playing dress up and create lives for my toys.', ' i leave my playpen unclean.', ' i hang out with my bff a lot.']	 hey , i enjoy mowing lawns in the summer	that sounds like fun . i like to play with my fish .
[' i have an aquatic animal.', ' i enjoy playing dress up and create lives for my toys.', ' i leave my playpen unclean.', ' i hang out with my bff a lot.']	 my turtle and myself love to grill outside	i love to grill too . my best friend and i grill all the time .
[' i have an aquatic animal.', ' i enjoy playing dress up and create lives for my toys.', ' i leave my playpen unclean.', ' i hang out with my bff a lot.']	 yeah , i have been retired for a long time ! years !	that is great . i have a friend named james who i hang out with .
[' i have an aquatic animal.', ' i enjoy playing dress up and create lives for my toys.', ' i leave my playpen unclean.', ' i hang out with my bff a lot.']	 yeah i wanna gamble , i go gambling when time permits	i want to go to the casino with my best friend .
[' i have an aquatic animal.', ' i enjoy playing dress up and create lives for my toys.', ' i leave my playpen unclean.', ' i hang out with my bff a lot.']	 she gambled on you , and did she get a bad kid ?	no , she's a good mom . she's my best friend .
[' i have an aquatic animal.', ' i enjoy playing dress up and create lives for my toys.', ' i leave my playpen unclean.', ' i hang out with my bff a lot.']	 tell her to get you to bed !	i am going to bed soon !
[' i have an aquatic animal.', ' i enjoy playing dress up and create lives for my toys.', ' i leave my playpen unclean.', ' i hang out with my bff a lot.']	 well i'm not gonna play dollies with you !	oh no ! i'm going to play with my fish !
[' i have an aquatic animal.', ' i enjoy playing dress up and create lives for my toys.', ' i leave my playpen unclean.', ' i hang out with my bff a lot.']	 good ! i hope you win the baby lottery !	thank you ! i hope you win too !
"[' i love being in the water.', ' i am a student.', "" i'm a hippie but my mom isn't."", "" i'm not from the us."", ' i listen to punk.']"	 how are you ? i'm tired of my parents bothering me , hoping to move out soon .	i'm sorry to hear that . i'm doing well .
"[' i love being in the water.', ' i am a student.', "" i'm a hippie but my mom isn't."", "" i'm not from the us."", ' i listen to punk.']"	 i never drink or use drugs . i am 19 and just want to see my friends .	i am in college . i am a swimmer .
"[' i love being in the water.', ' i am a student.', "" i'm a hippie but my mom isn't."", "" i'm not from the us."", ' i listen to punk.']"	 not sure . i have a part time job at burger king . do you work ?	i am in college . i am a student .
"[' i love being in the water.', ' i am a student.', "" i'm a hippie but my mom isn't."", "" i'm not from the us."", ' i listen to punk.']"	 awesome . my parents are just always on me about something . are you moving soon ?	i am not sure yet . i am still in college .
"[' i love being in the water.', ' i am a student.', "" i'm a hippie but my mom isn't."", "" i'm not from the us."", ' i listen to punk.']"	 that must be tough . what do you study ?	i am studying biology . i am from france . what about you ?
"[' i love being in the water.', ' i am a student.', "" i'm a hippie but my mom isn't."", "" i'm not from the us."", ' i listen to punk.']"	 yes , i am studying education and working part time .	that is cool . what do you do for fun ?
"[' i love being in the water.', ' i am a student.', "" i'm a hippie but my mom isn't."", "" i'm not from the us."", ' i listen to punk.']"	 yes , i love it . how are your courses ?	i am going to be a computer programmer .
"[' i love being in the water.', ' i am a student.', "" i'm a hippie but my mom isn't."", "" i'm not from the us."", ' i listen to punk.']"	 i hope to teach elementary school . how much longer until you graduate ?	i am still in school . i am hoping to finish next year
"[' i love being in the water.', ' i am a student.', "" i'm a hippie but my mom isn't."", "" i'm not from the us."", ' i listen to punk.']"	 same for me ! looking forward to being done and out of my parents house !	that is great . i am glad to be done with school .
"[' i do not enjoy parties.', "" i'm very good at making videos."", ' i spend my time creating artificial intelligence to be my doppelganger.', ' i worked to make a popular fun program to play on consoles.', "" drinking h2o makes me i'll.""]"	 hi . i'm billy . i work as an electrician in texas	hi billy , i'm james . i'm a video game developer .
"[' i do not enjoy parties.', "" i'm very good at making videos."", ' i spend my time creating artificial intelligence to be my doppelganger.', ' i worked to make a popular fun program to play on consoles.', "" drinking h2o makes me i'll.""]"	 really ? how ? i do a lot of work on my mom and dads farm .	i am famous for making video games
"[' i do not enjoy parties.', "" i'm very good at making videos."", ' i spend my time creating artificial intelligence to be my doppelganger.', ' i worked to make a popular fun program to play on consoles.', "" drinking h2o makes me i'll.""]"	 the only company i have is my pet cow .	i am a famous video game maker .
"[' i do not enjoy parties.', "" i'm very good at making videos."", ' i spend my time creating artificial intelligence to be my doppelganger.', ' i worked to make a popular fun program to play on consoles.', "" drinking h2o makes me i'll.""]"	 no usually . i live in the country . just drive my big truck and listen to country music .	i love country music . i listen to it while i drink whiskey .
"[' i do not enjoy parties.', "" i'm very good at making videos."", ' i spend my time creating artificial intelligence to be my doppelganger.', ' i worked to make a popular fun program to play on consoles.', "" drinking h2o makes me i'll.""]"	 not much . i like pizza too !	i like pizza too , but i don't drink much of it
"[' i do not enjoy parties.', "" i'm very good at making videos."", ' i spend my time creating artificial intelligence to be my doppelganger.', ' i worked to make a popular fun program to play on consoles.', "" drinking h2o makes me i'll.""]"	 really ? i did not know that was possible ! how do you stay hydrated ?	i drink a lot of water , but it does not help .
"[' i do not enjoy parties.', "" i'm very good at making videos."", ' i spend my time creating artificial intelligence to be my doppelganger.', ' i worked to make a popular fun program to play on consoles.', "" drinking h2o makes me i'll.""]"	 no . i live more north . near dallas .	i drink a lot of water , it helps me stay alive
[' i used to do pole vault.', ' i really like performing handstands and back flips on the balance beam.', ' i love sunny toned shades.', ' olive garden is my favorite restaurant.', ' i go to the gym for long periods of time.']	 hello . i love to read and my favorite books are the hunger games series . what about you ?	i love to read too . i'm a gymnast .
[' i used to do pole vault.', ' i really like performing handstands and back flips on the balance beam.', ' i love sunny toned shades.', ' olive garden is my favorite restaurant.', ' i go to the gym for long periods of time.']	 that is exciting and must allow you to travel alot . ever been to spain ?	no , i have not . i would love to go though .
[' i used to do pole vault.', ' i really like performing handstands and back flips on the balance beam.', ' i love sunny toned shades.', ' olive garden is my favorite restaurant.', ' i go to the gym for long periods of time.']	 i hope to go back when i retire in a few years . how long before you retire ?	i hope so . i am in my last year of gymnastics .
[' i used to do pole vault.', ' i really like performing handstands and back flips on the balance beam.', ' i love sunny toned shades.', ' olive garden is my favorite restaurant.', ' i go to the gym for long periods of time.']	 what are your plans after retirement ?	i want to go back to school and teach .
[' i used to do pole vault.', ' i really like performing handstands and back flips on the balance beam.', ' i love sunny toned shades.', ' olive garden is my favorite restaurant.', ' i go to the gym for long periods of time.']	 i love to cook for my grandkids . i plan to travel more .	that sounds like a lot of fun !
[' i used to do pole vault.', ' i really like performing handstands and back flips on the balance beam.', ' i love sunny toned shades.', ' olive garden is my favorite restaurant.', ' i go to the gym for long periods of time.']	 i would love to travel to italy . i love baking cookies .	i love to bake too , especially brownies .
[' i used to do pole vault.', ' i really like performing handstands and back flips on the balance beam.', ' i love sunny toned shades.', ' olive garden is my favorite restaurant.', ' i go to the gym for long periods of time.']	 i have never had earl grey shortbread only the tea .	i love italian , especially italian food .
[' i enjoy theme parks for vacation annually.', ' pluto is great , but i like another individual better.', ' i like to use the swings and monkey bars.', ' show tunes are memorable.', ' i am in elementary school.']	 hello ! i was three when i learned to play guitar !	wow , that's awesome ! i am in first grade .
[' i enjoy theme parks for vacation annually.', ' pluto is great , but i like another individual better.', ' i like to use the swings and monkey bars.', ' show tunes are memorable.', ' i am in elementary school.']	 that's great . i really like rascal flats . i think they played there before .	i like them too but i like to go to the circus more
[' i enjoy theme parks for vacation annually.', ' pluto is great , but i like another individual better.', ' i like to use the swings and monkey bars.', ' show tunes are memorable.', ' i am in elementary school.']	 i actually grew up in the entertainment industry .	that's cool . i like to ride the swings
[' i enjoy theme parks for vacation annually.', ' pluto is great , but i like another individual better.', ' i like to use the swings and monkey bars.', ' show tunes are memorable.', ' i am in elementary school.']	 wow . do you like national parks ? my family and i spent summers there .	i do not like national parks but i love the monkey bars
[' i enjoy theme parks for vacation annually.', ' pluto is great , but i like another individual better.', ' i like to use the swings and monkey bars.', ' show tunes are memorable.', ' i am in elementary school.']	 i enjoyed that when was younger too . what is your family like ?	my mom and dad are very nice
[' i enjoy theme parks for vacation annually.', ' pluto is great , but i like another individual better.', ' i like to use the swings and monkey bars.', ' show tunes are memorable.', ' i am in elementary school.']	 great ! i like music too and that's why i play guitar .	my mom and dad are very nice
[' i enjoy theme parks for vacation annually.', ' pluto is great , but i like another individual better.', ' i like to use the swings and monkey bars.', ' show tunes are memorable.', ' i am in elementary school.']	 do you have a dog or cat ?	no , i do not have any pets .
[' i enjoy theme parks for vacation annually.', ' pluto is great , but i like another individual better.', ' i like to use the swings and monkey bars.', ' show tunes are memorable.', ' i am in elementary school.']	 do you have any brothers or sisters ?	no , i am the only child .
"["" i'm seeking a different employment opportunity."", ' a film named after the last day of the work week is the best.', ' my job is a gynecologist.', ' my little girl is a genius.']"	 hello , i'm sitting here with my dog . how are you ?	i'm doing well . just watching sunday movies . you ?
"["" i'm seeking a different employment opportunity."", ' a film named after the last day of the work week is the best.', ' my job is a gynecologist.', ' my little girl is a genius.']"	 what would be your dream job ?	i'm a doctor . i love my job .
"["" i'm seeking a different employment opportunity."", ' a film named after the last day of the work week is the best.', ' my job is a gynecologist.', ' my little girl is a genius.']"	 what was the worst accident you have seen in the er ?	i have seen a car accident . i am a mother of a genius .
"["" i'm seeking a different employment opportunity."", ' a film named after the last day of the work week is the best.', ' my job is a gynecologist.', ' my little girl is a genius.']"	 that is very scary . i would rather stick to my knitting passion .	it is . my daughter is a genius . she's a genius too .
"["" i'm seeking a different employment opportunity."", ' a film named after the last day of the work week is the best.', ' my job is a gynecologist.', ' my little girl is a genius.']"	 what talents does she have ?	she's a genius . she can knit , read , write and cook .
"["" i'm seeking a different employment opportunity."", ' a film named after the last day of the work week is the best.', ' my job is a gynecologist.', ' my little girl is a genius.']"	 i've two children . they also enjoy math .	that's great ! i'm looking for a new job .
"["" i'm seeking a different employment opportunity."", ' a film named after the last day of the work week is the best.', ' my job is a gynecologist.', ' my little girl is a genius.']"	 my favorite movie is clueless .	i love that movie too ! what do you do for work ?
"["" i'm seeking a different employment opportunity."", ' a film named after the last day of the work week is the best.', ' my job is a gynecologist.', ' my little girl is a genius.']"	 do you think they will make another friday movie ?	i don't think so . i am not sure if i should look into it
"[' my goal is to get a masters degree.', ' i like to read scientific studies about the human mind.', "" i'm very good at reading a compass."", ' i do not have a high paying job.']"	 hey how are you today	i am doing well , how are you ?
"[' my goal is to get a masters degree.', ' i like to read scientific studies about the human mind.', "" i'm very good at reading a compass."", ' i do not have a high paying job.']"	 i have retired and now spend my time as a pro gambler	that sounds like fun . i am a college student who works at a pizza parlor .
"[' my goal is to get a masters degree.', ' i like to read scientific studies about the human mind.', "" i'm very good at reading a compass."", ' i do not have a high paying job.']"	 well being retired i have a lot of spare time either in a casino or outdoors	that sounds like a lot of fun . i do not have a job .
"[' my goal is to get a masters degree.', ' i like to read scientific studies about the human mind.', "" i'm very good at reading a compass."", ' i do not have a high paying job.']"	 yeah me to just got back from two weeks in the bush	that sounds like a lot of fun !
"[' my goal is to get a masters degree.', ' i like to read scientific studies about the human mind.', "" i'm very good at reading a compass."", ' i do not have a high paying job.']"	 my dad did he has his own outdoor show its possible you have seen it	i've not seen it yet . do you have any hobbies ?
"[' my goal is to get a masters degree.', ' i like to read scientific studies about the human mind.', "" i'm very good at reading a compass."", ' i do not have a high paying job.']"	 jim shockey he has survived in places all over the world	that's awesome . i've never heard of him .
"[' my goal is to get a masters degree.', ' i like to read scientific studies about the human mind.', "" i'm very good at reading a compass."", ' i do not have a high paying job.']"	 yeah didn't get to see him much as a child	i'm sorry to hear that . do you have any hobbies ?
"[' my goal is to get a masters degree.', ' i like to read scientific studies about the human mind.', "" i'm very good at reading a compass."", ' i do not have a high paying job.']"	 that is nice must have been fun	it was . what do you do for a living ?
"["" i've not fractured a core part of myself."", ' my part time gig has me doing some pretty brave things.', "" i've been know to finish almost two dozen novels in a twelve month period."", ' my mom and dad divorced when i was young.', "" i've special dietary restrictions.""]"	 hello there , how are you today ?	i'm doing well , how are you ?
"["" i've not fractured a core part of myself."", ' my part time gig has me doing some pretty brave things.', "" i've been know to finish almost two dozen novels in a twelve month period."", ' my mom and dad divorced when i was young.', "" i've special dietary restrictions.""]"	 great so far preparing my kindergarten lesson for tomorrow .	that sounds fun ! i'm a writer and i love to write .
"["" i've not fractured a core part of myself."", ' my part time gig has me doing some pretty brave things.', "" i've been know to finish almost two dozen novels in a twelve month period."", ' my mom and dad divorced when i was young.', "" i've special dietary restrictions.""]"	 what is your favorite ? i eat out alot with friends and some love kosher also .	i like all kinds of food . i'm a writer
"["" i've not fractured a core part of myself."", ' my part time gig has me doing some pretty brave things.', "" i've been know to finish almost two dozen novels in a twelve month period."", ' my mom and dad divorced when i was young.', "" i've special dietary restrictions.""]"	 no salt for me , at 24 i need to establish a healthy eating lifestyle .	that's a good idea . i'm a writer
"["" i've not fractured a core part of myself."", ' my part time gig has me doing some pretty brave things.', "" i've been know to finish almost two dozen novels in a twelve month period."", ' my mom and dad divorced when i was young.', "" i've special dietary restrictions.""]"	 i am slimming down to fit into a wedding dress in spring so salt is out .	that's great ! i am a writer
"["" i've not fractured a core part of myself."", ' my part time gig has me doing some pretty brave things.', "" i've been know to finish almost two dozen novels in a twelve month period."", ' my mom and dad divorced when i was young.', "" i've special dietary restrictions.""]"	 ha , ha , ha . . . to young for milf . what type of music do you like ?	i like all kinds of music
"["" i've not fractured a core part of myself."", ' my part time gig has me doing some pretty brave things.', "" i've been know to finish almost two dozen novels in a twelve month period."", ' my mom and dad divorced when i was young.', "" i've special dietary restrictions.""]"	 so you are a big taylor swift fan as i am ?	i like her music a lot
"["" i've not fractured a core part of myself."", ' my part time gig has me doing some pretty brave things.', "" i've been know to finish almost two dozen novels in a twelve month period."", ' my mom and dad divorced when i was young.', "" i've special dietary restrictions.""]"	 yes she's a1 with her stuff , i love her new album . .	i like her music a lot
"[' i have a degree in music engineering.', ' i am now single.', ' hi i am a bachelor just under 50 raising my children.', "" i'm located on the west coast but the music industry was slow recently."", ' my favorite place to be is home.']"	 hi , kevin here . i love mexican food , aerosmith and nascar racing and a construction worker .	hi kevin . i'm a college student .
"[' i have a degree in music engineering.', ' i am now single.', ' hi i am a bachelor just under 50 raising my children.', "" i'm located on the west coast but the music industry was slow recently."", ' my favorite place to be is home.']"	 great ! i wear a yellow construction worker hat to aerosmith concerts .	i love aerosmith . i am a single mother of two .
"[' i have a degree in music engineering.', ' i am now single.', ' hi i am a bachelor just under 50 raising my children.', "" i'm located on the west coast but the music industry was slow recently."", ' my favorite place to be is home.']"	 wow ! what artists you work with ? i started working at sixteen as a construction model .	i work with a lot of different artists .
"[' i have a degree in music engineering.', ' i am now single.', ' hi i am a bachelor just under 50 raising my children.', "" i'm located on the west coast but the music industry was slow recently."", ' my favorite place to be is home.']"	 oh okay . you like car racing ? i do . i also like mexican pizza .	i do . i love mexican food too .
"[' i have a degree in music engineering.', ' i am now single.', ' hi i am a bachelor just under 50 raising my children.', "" i'm located on the west coast but the music industry was slow recently."", ' my favorite place to be is home.']"	 me too ! i wear a yellow construction hat and my dad is a lawyer . bummer huh ?	yeah . i'm a single mom of two .
